feature	param0_importance	param1_importance	Category8	Category6
GO:0006337	0	0	GO_terms	GO_terms
GO:0006352	0.00041555062562093	0	GO_terms	GO_terms
GO:0006356	0	0	GO_terms	GO_terms
GO:0006359	0	0	GO_terms	GO_terms
GO:0006360	0	0	GO_terms	GO_terms
GO:0006362	0	0	GO_terms	GO_terms
GO:0006363	0	0	GO_terms	GO_terms
GO:0006364	0	2.84541699445322e-07	GO_terms	GO_terms
GO:0006366	0.00034272898249196	0	GO_terms	GO_terms
GO:0006367	0	0	GO_terms	GO_terms
GO:0006368	0	0	GO_terms	GO_terms
GO:0006369	0	0	GO_terms	GO_terms
GO:0006383	0.00014976624739121	0	GO_terms	GO_terms
GO:0006386	0	0	GO_terms	GO_terms
GO:0006412	0	6.59779500110516e-05	GO_terms	GO_terms
GO:0006413	0	0	GO_terms	GO_terms
GO:0006415	0	0.00015963437773438	GO_terms	GO_terms
GO:0006446	0	0	GO_terms	GO_terms
GO:0006458	0	0	GO_terms	GO_terms
GO:0006506	0	0	GO_terms	GO_terms
GO:0006513	0	0	GO_terms	GO_terms
GO:0006520	0	0	GO_terms	GO_terms
GO:0006536	0	0	GO_terms	GO_terms
GO:0006537	0	0	GO_terms	GO_terms
GO:0006629	0	0	GO_terms	GO_terms
GO:0006631	4.56530020486987e-05	0	GO_terms	GO_terms
GO:0006641	0	0	GO_terms	GO_terms
GO:0006665	0	0	GO_terms	GO_terms
GO:0006666	0	0	GO_terms	GO_terms
GO:0006673	0	0	GO_terms	GO_terms
GO:0006694	0	0	GO_terms	GO_terms
GO:0006696	0	0	GO_terms	GO_terms
GO:0006751	0	0	GO_terms	GO_terms
GO:0006754	0	0	GO_terms	GO_terms
GO:0006797	0	0	GO_terms	GO_terms
GO:0006811	0	0	GO_terms	GO_terms
GO:0006839	0	0	GO_terms	GO_terms
GO:0006843	0	0	GO_terms	GO_terms
GO:0006857	0	3.58357674689057e-05	GO_terms	GO_terms
GO:0006865	0	0	GO_terms	GO_terms
GO:0006869	0	0	GO_terms	GO_terms
GO:0006897	0	0	GO_terms	GO_terms
GO:0006997	0	0	GO_terms	GO_terms
GO:0007114	0.137640956158887	0	GO_terms	GO_terms
GO:0007127	0	0	GO_terms	GO_terms
GO:0007129	0	0	GO_terms	GO_terms
GO:0007165	0	0	GO_terms	GO_terms
GO:0007618	0	0	GO_terms	GO_terms
GO:0008023	0	0	GO_terms	GO_terms
GO:0008093	0	0	GO_terms	GO_terms
GO:0008121	0	0	GO_terms	GO_terms
GO:0008150	0.00892348478692387	0.00085486114566762	GO_terms	GO_terms
GO:0008180	0	0	GO_terms	GO_terms
GO:0008198	0	0	GO_terms	GO_terms
