feature	param0_importance	param1_importance	Category8	Category6
GO:1990871	0	0	GO_terms	GO_terms
GO:1990904	0	0	GO_terms	GO_terms
GO:2000434	0	0	GO_terms	GO_terms
GO:2000813	0	0	GO_terms	GO_terms
GRAVY Score	0.00029176122695391	0.00098440370294079	gene_structure	gene_structure
His_percent	0.00758269051727882	0.0014659498240475	aa_composition	aa_composition
HYDROGEN	0.00233190192165256	0.00163574891836132	gene_structure	gene_structure
Hydrophilic_percent	0.0107857693981067	0.00320347827728102	aa_composition	aa_composition
Hydrophobic_percent	0	0.00015415724407145	aa_composition	aa_composition
Ile_percent	0.00042621914635622	0.00537918063232523	aa_composition	aa_composition
INSTABILITY INDEX (II)	0.0131403721026043	0.00508341961219637	gene_structure	gene_structure
Leu_percent	0.00658287302238677	0.00213977699277231	aa_composition	aa_composition
Lys_percent	0	0.00359990615422713	aa_composition	aa_composition
max_phastCons	0	0	Phastcons	Conservation
mean_phastCons	0.105559414512179	0.0209623948284826	Phastcons	Conservation
mean_SIFT	0.031591038895581	0.00729903060110492	SIFT	Conservation
Met_percent	0.00247479389665821	0.00206314468733671	aa_composition	aa_composition
Mw	0.0292720639277613	0.00208095457854545	gene_structure	gene_structure
NITROGEN	0.0172769748942478	0.223001068531748	gene_structure	gene_structure
Nonpolar_percent	0.00125914334832777	0.00044162670264996	aa_composition	aa_composition
OXYGEN	0.048992599523676	0.00301583591705001	gene_structure	gene_structure
p95_phastCons	0	0	Phastcons	Conservation
Phe_percent	0.00318096205990751	0.00203011390892967	aa_composition	aa_composition
PI	0.00885221070898559	0.00461734761320409	gene_structure	gene_structure
Polar_percent	0.00426600293993452	0.00260214825620969	aa_composition	aa_composition
Pro_percent	0.0178651872029276	0.00149560040899796	aa_composition	aa_composition
Protein Length	0.00120249309286824	9.70374699198151e-05	gene_structure	gene_structure
RR	0.0121185987818622	0.00148619887102859	gene_structure	gene_structure
scer_spar_dn	0.0640835540056503	0.012143933595223	DnDs	Conservation
scer_spar_dnds	0.0341995932928019	0.00767592203429674	DnDs	Conservation
scer_spar_ds	0.019943149672202	0.00590627167934403	DnDs	Conservation
Ser_percent	0.00290635590816544	0.00589516051525884	aa_composition	aa_composition
SULPHUR	0.00375559925060601	0.285918973448183	gene_structure	gene_structure
Thr_percent	0.030997735381215	0.00220723367446892	aa_composition	aa_composition
threeUTR_GC_content	0.0261146299669297	0.00419910823530977	gene_structure	gene_structure
Total_aas	0	0	aa_composition	aa_composition
Trp_percent	0.00080932099683034	0.00273955094517718	aa_composition	aa_composition
UTR3_length	0.0199217977182485	0.00435906860510298	gene_structure	gene_structure
UTR5_length	0.00923670065327075	0.00537676681184549	gene_structure	gene_structure
Val_percent	0.0005330180336789	0.00160188387373615	aa_composition	aa_composition
YN00_mean	0.0292778980478613	0.013175547696794	DnDs	Conservation
YN00_median	0.011116758236143	0.00810501540884031	DnDs	Conservation
